term,category,shape,n_words,canonical_ok,evaluated_n,evaluated_caught,evaluated_rate,synthetic_n,synthetic_caught,synthetic_rate,failing_operators
memory leak,software,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, swap_words"
package manager,software,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, split_word"
pass-the-hash,security,phrase,3,yes,10,7,0.700,10,7,0.700,"drop_filler, swap_words"
priority matrix,general,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, swap_words"
race condition,security,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, split_word, swap_words"
security operations,security,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, split_word, swap_words"
self-service portal,general,phrase,3,yes,10,7,0.700,10,7,0.700,"consonant_swap, merge_words, split_word"
service request,general,phrase,2,yes,10,7,0.700,10,7,0.700,"merge_words, split_word, swap_words"
spanning tree,networking,phrase,2,yes,10,7,0.700,10,7,0.700,"split_word, swap_words"
three-way handshake,networking,phrase,3,yes,10,7,0.700,10,7,0.700,"split_word, swap_words"
zero-day vulnerability,security,phrase,3,yes,10,7,0.700,10,7,0.700,"split_word, swap_words"
DHCP,networking,acronym,1,yes,8,6,0.750,7,5,0.714,
CSRF,security,acronym,1,yes,10,8,0.800,8,6,0.750,
NVMe,hardware,acronym,1,yes,11,9,0.818,9,7,0.778,
BIOS,hardware,acronym,1,yes,12,10,0.833,10,8,0.800,respell
Ethernet,networking,single_word,1,yes,10,8,0.800,10,8,0.800,
IPsec,security,single_word,1,yes,10,8,0.800,10,8,0.800,
LACP,networking,acronym,1,yes,12,10,0.833,10,8,0.800,
LOTL,security,acronym,1,yes,12,10,0.833,10,8,0.800,
VXLAN,networking,acronym,1,yes,12,10,0.833,10,8,0.800,
attack surface,security,phrase,2,yes,10,8,0.800,10,8,0.800,"split_word, swap_words"
authorization,security,single_word,1,yes,10,8,0.800,10,8,0.800,drop_last
backup,general,single_word,1,yes,10,8,0.800,10,8,0.800,
buffer overflow,software,phrase,2,yes,10,8,0.800,10,8,0.800,"split_word, swap_words"
cache,software,single_word,1,yes,10,8,0.800,10,8,0.800,
chain of custody,security,phrase,3,yes,10,8,0.800,10,8,0.800,split_word
change enablement,general,phrase,2,yes,10,8,0.800,10,8,0.800,merge_words
command and control,security,phrase,3,yes,10,8,0.800,10,8,0.800,"drop_filler, merge_words"
command-line interface,software,phrase,3,yes,10,8,0.800,10,8,0.800,swap_words
crash,general,single_word,1,yes,10,8,0.800,10,8,0.800,
credential stuffing,security,phrase,2,yes,10,8,0.800,10,8,0.800,"split_word, swap_words"
dependency injection,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
digital forensics,security,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
disk space,hardware,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
driver,hardware,single_word,1,yes,10,8,0.800,10,8,0.800,drop_last
exponential backoff,networking,phrase,2,yes,10,8,0.800,10,8,0.800,merge_words
federated identity,security,phrase,2,yes,10,8,0.800,10,8,0.800,"split_word, swap_words"
garbage collection,software,phrase,2,yes,10,8,0.800,10,8,0.800,merge_words
help desk,general,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
kernel,software,single_word,1,yes,10,8,0.800,10,8,0.800,
key encryption key,security,phrase,3,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
knowledge base,general,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
lateral movement,security,phrase,2,yes,10,8,0.800,10,8,0.800,swap_words
least privilege,security,phrase,2,yes,10,8,0.800,10,8,0.800,split_word
load balancer,networking,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
managed identity,security,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
network access control,security,phrase,3,yes,10,8,0.800,10,8,0.800,split_word
network interface controller,networking,phrase,3,yes,10,8,0.800,10,8,0.800,"respell, split_word"
packet capture,networking,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
packet loss,networking,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
password spraying,security,phrase,2,yes,10,8,0.800,10,8,0.800,"split_word, swap_words"
proxy,networking,single_word,1,yes,10,8,0.800,10,8,0.800,consonant_swap
public key infrastructure,security,phrase,3,yes,10,8,0.800,10,8,0.800,"respell, split_word"
random access memory,hardware,phrase,3,yes,10,8,0.800,10,8,0.800,merge_words
reboot,general,single_word,1,yes,10,8,0.800,10,8,0.800,
remote code execution,security,phrase,3,yes,10,8,0.800,10,8,0.800,split_word
resolver group,general,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
root cause analysis,general,phrase,3,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
router,networking,single_word,1,yes,10,8,0.800,10,8,0.800,
security operations center,security,phrase,3,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
segmentation fault,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
service level agreement,general,phrase,3,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
service level management,general,phrase,3,yes,10,8,0.800,10,8,0.800,split_word
service mesh,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
service principal,security,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
source control,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
stack overflow,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
subnet,networking,single_word,1,yes,10,8,0.800,10,8,0.800,
system call,software,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
threat actor,security,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
trunk port,networking,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
user and entity behavior analytics,security,phrase,5,yes,10,8,0.800,10,8,0.800,"merge_words, split_word"
virtual environment,software,phrase,2,yes,10,8,0.800,10,8,0.800,merge_words
vulnerability management,security,phrase,2,yes,10,8,0.800,10,8,0.800,merge_words
zero trust,security,phrase,2,yes,10,8,0.800,10,8,0.800,"merge_words, swap_words"
NGFW,security,acronym,1,yes,9,8,0.889,7,6,0.857,
HDMI,hardware,acronym,1,yes,10,9,0.900,9,8,0.889,
BSSID,networking,acronym,1,yes,12,11,0.917,10,9,0.900,
Bluetooth,hardware,single_word,1,yes,10,9,0.900,10,9,0.900,
